10000	28.00	12.00
15000	26.00	28.00
20000	32.00	18.00
25000	34.00	40.00
30000	20.00	46.00
35000	26.00	48.00
40000	36.00	56.00
45000	38.00	42.00
50000	34.00	58.00
55000	32.00	54.00
60000	30.00	60.00
65000	26.00	52.00
70000	34.00	56.00
75000	36.00	54.00
80000	26.00	46.00
85000	22.00	54.00
90000	34.00	60.00
95000	32.00	60.00
100000	42.00	62.00
105000	36.00	50.00
110000	26.00	46.00
115000	28.00	58.00
120000	40.00	48.00
125000	26.00	58.00
130000	40.00	66.00
135000	36.00	60.00
140000	32.00	44.00
145000	28.00	42.00
150000	40.00	60.00
155000	36.00	50.00
160000	26.00	44.00
165000	22.00	68.00
170000	28.00	56.00
175000	34.00	56.00
180000	38.00	38.00
185000	40.00	54.00
190000	32.00	30.00
195000	30.00	56.00
200000	38.00	46.00
205000	24.00	50.00
210000	44.00	52.00
215000	36.00	48.00
220000	24.00	52.00
225000	32.00	48.00
230000	40.00	48.00
235000	28.00	62.00
240000	32.00	38.00
245000	36.00	54.00
250000	36.00	58.00
255000	40.00	44.00
260000	32.00	58.00
265000	42.00	46.00
270000	28.00	38.00
275000	46.00	52.00
280000	40.00	54.00
285000	42.00	38.00
290000	46.00	54.00
295000	50.00	60.00
